Time,X,Y,Z,Mag
0.1477,-7.76712,1.92006,1.93024,8.230468392
0.1478,-7.56998,1.80251,1.93024,8.017447596
0.1479,-7.80655,1.64577,2.05345,8.238169621
0.148,-7.64884,1.80251,1.97131,8.101842924
0.1481,-7.53056,1.68495,1.97131,7.964574912
0.1482,-7.60941,1.92006,2.382,8.201443468
0.1483,-7.72769,1.88088,2.382,8.302338605
0.1484,-7.8854,1.72414,2.2588,8.381787956
0.1485,-7.53056,1.72414,2.34093,8.07229496
0.1486,-7.64884,1.84169,2.29986,8.196702472
0.1487,-7.68826,1.84169,2.382,8.256820689
0.1488,-7.60941,1.84169,2.29986,8.159920258
0.1489,-7.37285,1.68495,2.17666,7.869931536
0.149,-7.29399,1.5674,2.21773,7.783145844
0.1491,-7.09686,1.80251,2.50521,7.738897939
0.1492,-7.09686,1.76332,2.29986,7.665772975
0.1493,-7.21514,1.80251,2.29986,7.784384596
0.1494,-7.13629,1.80251,2.29986,7.711357422
0.1495,-7.17571,1.5674,2.34093,7.708924051
0.1496,-7.41228,1.76332,2.66948,8.073246911
0.1497,-7.4517,1.5674,2.75162,8.096665256
0.1498,-6.93915,1.68495,2.62842,7.609168872
0.1499,-7.09686,1.80251,2.50521,7.738897939
0.15,-7.13629,1.48903,2.62842,7.749350747
0.1501,-7.01801,1.68495,2.66948,7.695300146
0.1502,-6.97858,1.60658,2.54628,7.60034341
0.1503,-6.89972,1.52821,2.54628,7.511664511
0.1504,-7.17571,1.52821,2.58735,7.779499973
0.1505,-7.13629,1.72414,2.71055,7.826006325
0.1506,-6.82087,1.5674,2.66948,7.49046953
0.1507,-6.93915,1.5674,2.87483,7.672886876
0.1508,-6.93915,1.44984,2.83376,7.634398109
0.1509,-6.97858,1.68495,2.58735,7.6311215
0.151,-7.01801,1.60658,2.66948,7.678521155
0.1511,-6.82087,1.60658,2.75162,7.528398201
0.1512,-6.97858,1.52821,3.08018,7.779685948
0.1513,-6.89972,1.44984,2.95697,7.645380545
0.1514,-6.74202,1.48903,2.83376,7.463393314
0.1515,-6.46603,1.5674,2.62842,7.153661889
0.1516,-6.46603,1.76332,2.95697,7.325470153
0.1517,-6.50545,1.5674,2.71055,7.219744024
0.1518,-6.54488,1.41066,2.87483,7.286292842
0.1519,-6.62374,1.48903,2.95697,7.405053241
0.152,-6.38717,1.60658,2.83376,7.169883935
0.1521,-6.30832,1.60658,2.79269,7.083439698
0.1522,-6.34775,1.48903,3.03911,7.193561704
0.1523,-6.22947,1.44984,2.99804,7.06375087
0.1524,-6.30832,1.52821,2.79269,7.066077021
0.1525,-6.19004,1.44984,2.79269,6.943900105
0.1526,-6.22947,1.5674,3.12124,7.141790978
0.1527,-6.30832,1.48903,3.24445,7.248349286
0.1528,-6.30832,1.25392,3.24445,7.203726285
0.1529,-6.46603,1.41066,3.24445,7.370614723
